1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
1, 577
2, 405
3, 117
4, 73
5, 39
6, 73
7, 47
8, 3
9, 3
10, 1
